Fecha,DXY real,DXY estimado,Confianza,Error absoluto,Error porcentual
2010-02-01,79.23999786376953,81.90267876128931,0.23732793241610078,2.6626808975197775,3.3602738128507954
2010-02-02,79.01000213623047,81.86586912712454,0.23173813169600455,2.8558669908940715,3.61456386998944
2010-02-03,79.37000274658203,81.85621277571514,0.22221668933163424,2.4862100291331046,3.1324303176242108
2010-02-04,79.91999816894531,82.14695673655075,0.22696134659742728,2.226958567605436,2.7864847580424126
2010-02-05,80.44000244140625,82.19272669078073,0.2278574293784313,1.7527242493744808,2.1789211787396354
2010-02-08,80.30000305175781,82.1969586575371,0.2271342780244369,1.896955605779283,2.3623356583891906
2010-02-09,79.86000061035156,82.21604243482865,0.22579470987832076,2.3560418244770887,2.9502151345735093
2010-02-10,80.02999877929688,82.17743789539658,0.22398294725330806,2.1474391160997044,2.6832927013054384
2010-02-11,79.98999786376953,82.10808092955016,0.2146858955447441,2.118083065780624,2.647934894795119
2010-02-12,80.31999969482422,82.08769968650479,0.22512185980148164,1.7676999916805727,2.200821711151578
2010-02-16,79.69999694824219,82.1229646658685,0.2178585336926676,2.4229677176263067,3.0401101761645
2010-02-17,80.37999725341797,82.09207213998074,0.21931105764061623,1.7120748865627746,2.1299762939342135
2010-02-18,80.4000015258789,82.04580419332426,0.22368128522764472,1.645802667445352,2.0470182042417076
2010-02-19,80.63999938964844,82.0632497588829,0.23163919273338415,1.4232503692344665,1.7649434275878302
2010-02-22,80.51000213623047,82.04863981790947,0.23127895361739864,1.5386376816790062,1.9111137012212307
2010-02-23,80.8499984741211,82.1861315424613,0.22162615959656515,1.336133068340203,1.6526074131811885
2010-02-24,80.8499984741211,82.1070772282815,0.22571669715005319,1.2570787541604034,1.5548284203898606
2010-02-25,80.79000091552734,82.10560692990734,0.2209053098109242,1.3156060143799948,1.6284267848388445
2010-02-26,80.36000061035156,82.10887137305711,0.2170165960533056,1.7488707627055504,2.176295108788575
2010-03-01,80.66000366210938,82.02623201867485,0.23334031995434723,1.3662283565654718,1.6938114239229418
2010-03-02,80.5199966430664,82.04362493264036,0.2309276311860691,1.5236282895739492,1.8922359079670295
2010-03-03,79.9800033569336,82.00338968656501,0.2282750198174457,2.023386329631421,2.529865272199955
2010-03-04,80.55999755859375,81.99006811228806,0.21817536289488304,1.430070553694307,1.7751621115109555
2010-03-05,80.43000030517578,81.93430104419402,0.21762587860190152,1.504300739018234,1.8703229308845721
2010-03-08,80.43000030517578,81.86428617248185,0.22202351690452096,1.4342858673060732,1.7832722390450806
2010-03-09,80.58999633789062,81.89469150807189,0.22399495828411597,1.3046951701812617,1.6189294322722771
2010-03-10,80.44999694824219,81.9044986468504,0.23879796806326403,1.4545016986082118,1.8079574316751945
2010-03-11,80.31999969482422,81.86228238850865,0.23127883636301855,1.5422826936844274,1.9201726836956292
2010-03-12,79.83000183105469,81.85727420896885,0.22252823163382315,2.0272723779141586,2.539486823768967
2010-03-15,80.25,81.79993974435132,0.22980465364046557,1.5499397443513203,1.9313890895343557
2010-03-16,79.75,81.80960879561181,0.21126133345378373,2.0596087956118083,2.5825815618956844
2010-03-17,79.63999938964844,81.73755670671629,0.21955909501067036,2.097557317067853,2.6337987608529443
2010-03-18,80.22000122070312,81.71951894933822,0.2186701161656124,1.499517728635098,1.8692566764111487
2010-03-19,80.72000122070312,81.77846245959012,0.21977651310199392,1.0584612388869914,1.3112750531221704
2010-03-22,80.6500015258789,81.7251284305407,0.2184852327244347,1.0751269046618006,1.3330773519164965
2010-03-23,80.9000015258789,81.73358271137371,0.23967685834348343,0.8335811854948076,1.0303846350709345
2010-03-24,81.83999633789062,81.7984703450827,0.22438648056150173,0.041525992807919465,0.05074046269072667
2010-03-25,82.12000274658203,81.8630028441665,0.22575213330615715,0.2569999024155294,0.3129565195079419
2010-03-26,81.68000030517578,81.86863258297609,0.22203142328570027,0.1886322778003091,0.230940593897569
2010-03-29,81.36000061035156,81.82531468284355,0.23073295868759378,0.4653140724919922,0.5719199471500367
2010-03-30,81.47000122070312,81.83808187810084,0.22097403680405966,0.36808065739771223,0.45179900807976875
2010-03-31,81.06999969482422,81.85406467811654,0.22826597161270884,0.7840649832923248,0.9671456596075233
2010-04-01,80.77999877929688,81.85290162109646,0.21984818355170424,1.0729028417995892,1.3281788289337828
2010-04-05,81.08999633789062,81.79630930669146,0.2208377062051804,0.7063129688008303,0.8710235549373111
2010-04-06,81.38999938964844,81.77269620374192,0.224129670547545,0.3826968140934781,0.4702012740672797
2010-04-07,81.44000244140625,81.76735316201453,0.22338883129645942,0.32735072060827974,0.40195323034745634
2010-04-08,81.52999877929688,81.74665526699633,0.22863556733193038,0.21665648769945278,0.26573836740258716
2010-04-09,81.08999633789062,81.74508350288544,0.2203304919209595,0.6550871649948107,0.8078520095933344
2010-04-12,80.55999755859375,81.58767627854682,0.22096556180535795,1.027678719953073,1.2756687575686816
2010-04-13,80.51000213623047,81.63679589897966,0.22975269359298253,1.1267937627491875,1.3995699079010666
2010-04-14,80.19000244140625,81.55296226175253,0.22653583426195162,1.3629598203462763,1.6996630238815276
2010-04-15,80.4800033569336,81.5471442945983,0.2298441086500634,1.0671409376647034,1.325970294672914
2010-04-16,80.81999969482422,81.7131941147368,0.22565605218922483,0.8931944199125752,1.1051650869651959
2010-04-19,81.0,81.51263827823547,0.22575215926870773,0.512638278235471,0.632886763253668
2010-04-20,81.05000305175781,81.4223727408703,0.21433436225961716,0.3723696891124888,0.4594320482316291
