Fecha,DXY,VIX,Inflacion_USA
2022-02-04,95.4800033569336,,284.525
2022-02-07,95.4000015258789,,284.525
2022-02-08,95.63999938964844,23.93,284.525
2022-02-09,95.48999786376953,25.47,284.525
2022-02-10,95.55000305175781,,284.525
2022-02-11,96.08000183105469,25.86,284.525
2022-02-14,96.37000274658203,,284.525
2022-02-15,95.98999786376953,,284.525
2022-02-16,95.69999694824219,,284.525
2022-02-17,95.80000305175781,,284.525
2022-02-18,96.04000091552734,,284.525
2022-02-22,96.02999877929688,,284.525
2022-02-23,96.19000244140625,,284.525
2022-02-24,97.13999938964844,,284.525
2022-02-25,96.62000274658203,,284.525
2022-02-28,96.70999908447266,,284.525
2022-03-01,97.41000366210938,16.6,287.467
2022-03-02,97.38999938964844,24.35,287.467
2022-03-03,97.79000091552734,30.48,287.467
2022-03-04,98.6500015258789,,287.467
2022-03-07,99.29000091552734,,287.467
2022-03-08,99.05999755859375,21.95,287.467
2022-03-09,97.97000122070312,,287.467
2022-03-10,98.51000213623047,30.1,287.467
2022-03-11,99.12000274658203,25.3,287.467
2022-03-14,99.05999755859375,,287.467
2022-03-15,99.06999969482422,,287.467
2022-03-16,98.37999725341797,,287.467
2022-03-17,98.01000213623047,,287.467
2022-03-18,98.2300033569336,,287.467
2022-03-21,98.5,,287.467
2022-03-22,98.48999786376953,,287.467
2022-03-23,98.62000274658203,,287.467
2022-03-24,98.79000091552734,,287.467
2022-03-25,98.80999755859375,,287.467
2022-03-28,99.08999633789062,,287.467
2022-03-29,98.4000015258789,,287.467
2022-03-30,97.79000091552734,,287.467
2022-03-31,98.30999755859375,,287.467
2022-04-01,98.62999725341797,16.91,288.582
2022-04-04,98.98999786376953,18.57,288.582
2022-04-05,99.47000122070312,25.42,288.582
2022-04-06,99.5999984741211,,288.582
2022-04-07,99.75,27.53,288.582
2022-04-08,99.80000305175781,21.44,288.582
2022-04-11,99.93000030517578,24.55,288.582
2022-04-12,100.29000091552734,,288.582
2022-04-13,99.87999725341797,,288.582
2022-04-14,100.31999969482422,,288.582
2022-04-18,100.77999877929688,,288.582
2022-04-19,100.95999908447266,,288.582
2022-04-20,100.38999938964844,,288.582
2022-04-21,100.58000183105469,,288.582
2022-04-22,101.22000122070312,,288.582
2022-04-25,101.75,,288.582
2022-04-26,102.30000305175781,,288.582
2022-04-27,102.94999694824219,,288.582
2022-04-28,103.62000274658203,,288.582
2022-04-29,102.95999908447266,,288.582
2022-05-02,103.73999786376953,,288.582
